
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","372.90","2.50","0.80","0.00","0.00","0.00","242.20","0.00","0.00","1.10","290.86199999999997","50.01","26.20","Nov.19 10:40,2018","0.20","2993.00"
"'110B987CD123056","375.10","2.50","0.80","0.00","0.00","0.00","242.20","0.00","0.00","1.20","292.57800000000003","49.98","26.60","Nov.19 10:50,2018","0.30","2993.00"
"'110B987CD123056","383.00","2.50","1.20","0.00","0.00","0.00","240.20","0.00","0.00","1.70","448.10999999999996","50.02","26.80","Nov.19 10:55,2018","0.30","2993.00"
"'110B987CD123056","379.10","2.50","1.10","0.00","0.00","0.00","239.90","0.00","0.00","1.60","406.58475000000004","49.98","27.10","Nov.19 11:00,2018","0.30","2993.00"
"'110B987CD123056","374.90","2.50","0.90","0.00","0.00","0.00","240.60","0.00","0.00","1.30","328.97475","49.97","27.20","Nov.19 11:05,2018","0.40","2993.00"
"'110B987CD123056","369.00","2.50","0.80","0.00","0.00","0.00","240.60","0.00","0.00","1.10","287.82","50.00","27.20","Nov.19 11:10,2018","0.40","2993.00"
"'110B987CD123056","372.90","2.50","0.60","0.00","0.00","0.00","241.20","0.00","0.00","1.00","218.14649999999997","49.99","27.00","Nov.19 11:15,2018","0.40","2993.00"
"'110B987CD123056","361.20","2.40","0.40","0.00","0.00","0.00","241.60","0.00","0.00","0.80","140.868","49.98","26.80","Nov.19 11:20,2018","0.40","2993.00"
"'110B987CD123056","373.00","2.50","0.70","0.00","0.00","0.00","240.90","0.00","0.00","1.10","254.57249999999996","49.97","26.70","Nov.19 11:25,2018","0.40","2993.00"
"'110B987CD123056","360.90","2.50","0.50","0.00","0.00","0.00","241.60","0.00","0.00","0.90","175.93875","49.97","26.70","Nov.19 11:30,2018","0.50","2993.00"
